HOG	OG	Gene Tree Parent Clade	Aq	Ga	GaY	Gw	GwY	Pp
N0.HOG0010069	OG0008199	n0	ApeQuad_10604.1	rna-XM_040184802.1		g20781.t2		rna-XM_062563524.1
N0.HOG0010070	OG0008200	n0	ApeQuad_10605.1	rna-XM_040184768.1		g20782.t1		rna-XM_062563344.1
N0.HOG0010071	OG0008201	n0	ApeQuad_10606.1	rna-XM_040184760.1		g20783.t1		rna-XM_037469522.2
N0.HOG0010072	OG0008202	n0	ApeQuad_10607.1	rna-XM_040184808.1		g20784.t1		rna-XM_037469541.2
N0.HOG0010073	OG0008203	n0	ApeQuad_10608.1	rna-XM_040184766.1		g20785.t1		rna-XM_037469524.2
N0.HOG0010074	OG0008204	n0	ApeQuad_10611.2	rna-XM_040184785.1		g20789.t2		rna-XM_037469540.2
N0.HOG0010075	OG0008205	n0	ApeQuad_10612.1	rna-XM_040184805.1		g20790.t1		rna-XM_037469536.2
N0.HOG0010076	OG0008206	n0	ApeQuad_10613.1	rna-XM_040184793.1		g20791.t1		rna-XM_037470693.2
N0.HOG0010077	OG0008207	n0	ApeQuad_10614.1	rna-XM_040184697.1		g20794.t1		rna-XM_062563527.1
N0.HOG0010078	OG0008208	n0	ApeQuad_10615.1	rna-XM_040184787.1		g20792.t1		rna-XM_037469688.2
N0.HOG0010079	OG0008209	n0	ApeQuad_10616.3	rna-XM_040184804.1		g20793.t1		rna-XM_037469916.2
N0.HOG0010080	OG0008210	n0	ApeQuad_10618.1	rna-XM_040184775.1		g20795.t1		rna-XM_037469918.2
N0.HOG0010081	OG0008211	n0	ApeQuad_10621.1	rna-XM_040184788.1		g20799.t2		rna-XM_037469641.2
N0.HOG0010082	OG0008212	n0	ApeQuad_10654.1			g20831.t1		rna-XM_037469500.2, rna-XM_062563231.1
N0.HOG0010083	OG0008213	n0	ApeQuad_10657.1	rna-XM_040184797.1		g20832.t1		rna-XM_037470445.2
N0.HOG0010084	OG0008214	n0	ApeQuad_10658.1	rna-XM_040184799.1		g20833.t1		rna-XM_037470278.2
N0.HOG0010085	OG0008215	n0	ApeQuad_10661.6	rna-XM_040184803.1		g20835.t2		rna-XM_062563304.1
N0.HOG0010086	OG0008216	n0	ApeQuad_10664.2	rna-XM_040184784.1		g20838.t1		rna-XM_062563530.1
N0.HOG0010087	OG0008217	n0	ApeQuad_10665.1	rna-XM_040184794.1		g20839.t1		rna-XM_037470095.2
N0.HOG0010088	OG0008218	n0	ApeQuad_10666.1	rna-XM_040184796.1		g20840.t1		rna-XM_037470096.2
N0.HOG0010089	OG0008219	n0	ApeQuad_10668.1	rna-XM_040185102.1		g20841.t1		rna-XM_037470705.2
N0.HOG0010090	OG0008220	n0	ApeQuad_10669.1	rna-XM_040183401.1		g20842.t1		rna-XM_037470622.2
N0.HOG0010091	OG0008221	n0	ApeQuad_10672.1	rna-XM_040184598.1		g20844.t1		rna-XM_037469234.2
N0.HOG0010092	OG0008222	n0	ApeQuad_10673.1	rna-XM_040184700.1		g20845.t1		rna-XM_037469227.2
N0.HOG0010093	OG0008223	n0	ApeQuad_10675.1	rna-XM_040184592.1		g20846.t1		rna-XM_037469233.2
N0.HOG0010094	OG0008224	n0	ApeQuad_10676.1	rna-XM_040183958.1		g20847.t1		rna-XM_037469553.2
N0.HOG0010095	OG0008225	n0	ApeQuad_10677.2	rna-XM_040183953.1		g20848.t1		rna-XM_062563394.1
N0.HOG0010096	OG0008226	n0	ApeQuad_10678.1	rna-XM_040183954.1		g20849.t1		rna-XM_037469550.2
N0.HOG0010097	OG0008227	n0	ApeQuad_10680.1	rna-XM_040183879.1		g20850.t1		rna-XM_037469594.2
N0.HOG0010098	OG0008228	n0	ApeQuad_10681.10	rna-XM_040183870.1		g20851.t2		rna-XM_062563531.1
N0.HOG0010099	OG0008229	n0	ApeQuad_10682.2			g20852.t1, g20853.t1		rna-XM_037469592.2
N0.HOG0010100	OG0008230	n0	ApeQuad_10685.1	rna-XM_040184701.1		g20854.t1		rna-XM_037469047.2
N0.HOG0010101	OG0008231	n0	ApeQuad_10686.1	rna-XM_040184636.1		g20855.t1		rna-XM_037470040.2
N0.HOG0010102	OG0008232	n0	ApeQuad_10690.1	rna-XM_040185024.1		g20859.t1		rna-XM_062563440.1
N0.HOG0010103	OG0008233	n0	ApeQuad_10691.1	rna-XM_040185025.1		g20860.t1		rna-XM_037469784.2
N0.HOG0010104	OG0008234	n0	ApeQuad_10692.3	rna-XM_040185027.1		g20861.t2		rna-XM_037469788.2
N0.HOG0010105	OG0008235	n0	ApeQuad_10694.2	rna-XM_040184711.1		g20862.t1		rna-XM_062563314.1
N0.HOG0010106	OG0008236	n0	ApeQuad_10695.2	rna-XM_040184717.1		g20863.t2		rna-XM_037469514.2
N0.HOG0010107	OG0008237	n0	ApeQuad_10696.1	rna-XM_040184719.1		g20864.t1		rna-XM_037469518.2
N0.HOG0010108	OG0008238	n0	ApeQuad_10697.2	rna-XM_040184708.1		g20865.t1		rna-XM_037469501.2
N0.HOG0010109	OG0008239	n0	ApeQuad_10698.1	rna-XM_040184720.1		g20866.t1		rna-XM_062563323.1
N0.HOG0010110	OG0008240	n0	ApeQuad_10699.1	rna-XM_040184725.1		g20867.t1		rna-XM_037469511.2
N0.HOG0010111	OG0008241	n0	ApeQuad_10700.2	rna-XM_040185398.1		g20868.t1		rna-XM_037469519.2
N0.HOG0010112	OG0008242	n0	ApeQuad_10701.2	rna-XM_040184409.1		g20869.t1		rna-XM_037470073.2
N0.HOG0010113	OG0008243	n0	ApeQuad_10702.3	rna-XM_040184410.1		g20870.t1		rna-XM_037470074.2
N0.HOG0010114	OG0008244	n0	ApeQuad_10703.2	rna-XM_040185457.1		g22033.t1		rna-XM_037471244.2
N0.HOG0010115	OG0008245	n0	ApeQuad_10704.1	rna-XM_040185576.1		g22034.t1		rna-XM_037472566.1
N0.HOG0010116	OG0008246	n0	ApeQuad_10705.3	rna-XM_040185537.1		g22035.t1		rna-XM_037472457.2
N0.HOG0010117	OG0008247	n0	ApeQuad_10706.1	rna-XM_040185570.1		g22032.t2		rna-XM_037471245.2
N0.HOG0010118	OG0008248	n0	ApeQuad_10708.1	rna-XM_040185554.1		g22031.t1		rna-XM_037473002.2
N0.HOG0010119	OG0008249	n0	ApeQuad_10709.1	rna-XM_040185540.1		g22030.t1		rna-XM_037472929.2
N0.HOG0010120	OG0008250	n0	ApeQuad_10710.1	rna-XM_040185530.1		g22029.t1		rna-XM_037471380.2
N0.HOG0010121	OG0008251	n0	ApeQuad_10711.3	rna-XM_040185538.1		g22028.t2		rna-XM_037471386.2
N0.HOG0010122	OG0008252	n0	ApeQuad_10720.1	rna-XM_040185497.1		g22022.t1		rna-XM_037471375.2
N0.HOG0010123	OG0008253	n0	ApeQuad_10723.1	rna-XM_040185542.1		g22020.t1		rna-XM_037471388.2
N0.HOG0010124	OG0008254	n0	ApeQuad_10724.2	rna-XM_040185492.1		g22019.t1		rna-XM_037471369.2
N0.HOG0010125	OG0008255	n0	ApeQuad_10728.2	rna-XM_040185559.1		g22016.t1		rna-XM_037470958.2
N0.HOG0010126	OG0008256	n0	ApeQuad_10729.1	rna-XM_040185505.1		g22015.t2		rna-XM_062564671.1
N0.HOG0010127	OG0008257	n0	ApeQuad_10731.2	rna-XM_040185490.1		g22014.t1		rna-XM_037473059.2
N0.HOG0010128	OG0008258	n0	ApeQuad_10734.1	rna-XM_040185566.1		g22010.t1		rna-XM_037473100.2
N0.HOG0010129	OG0008259	n0	ApeQuad_10735.1	rna-XM_040185595.1		g22009.t1		rna-XM_037472524.2
N0.HOG0010130	OG0008260	n0	ApeQuad_10736.2	rna-XM_040185533.1		g22008.t1		rna-XM_037472522.2
N0.HOG0010131	OG0008261	n0	ApeQuad_10739.1	rna-XM_040185513.1		g22005.t1		rna-XM_037472968.2
N0.HOG0010132	OG0008262	n0	ApeQuad_10740.1	rna-XM_040185557.1		g22000.t1		rna-XM_037472690.2
N0.HOG0010133	OG0008263	n0	ApeQuad_10741.1	rna-XM_040187057.1		g22004.t1		rna-XM_037472670.2
N0.HOG0010134	OG0008264	n0	ApeQuad_10742.1	rna-XM_040185543.1		g22001.t1		rna-XM_037472688.2
N0.HOG0010135	OG0008265	n0	ApeQuad_10743.1	rna-XM_040185509.1		g21999.t2		rna-XM_037472675.2
N0.HOG0010136	OG0008266	n0	ApeQuad_10749.1	rna-XM_040185521.1		g21997.t3		rna-XM_062564739.1
N0.HOG0010137	OG0008267	n0	ApeQuad_10750.2	rna-XM_040185479.1		g21996.t1		rna-XM_037471007.2
N0.HOG0010138	OG0008268	n0	ApeQuad_10752.1	rna-XM_040187059.1		g21994.t1		rna-XM_062564738.1
N0.HOG0010139	OG0008269	n0	ApeQuad_10753.1	rna-XM_040185600.1		g21993.t1		rna-XM_037473287.2
N0.HOG0010140	OG0008270	n0	ApeQuad_10755.1	rna-XM_040185526.1		g21991.t1		rna-XM_062564408.1
N0.HOG0010141	OG0008271	n0	ApeQuad_10761.1	rna-XM_040185590.1		g21983.t1		rna-XM_037472167.2
N0.HOG0010142	OG0008272	n0	ApeQuad_10762.1	rna-XM_040185541.1		g21984.t1		rna-XM_037472092.2
N0.HOG0010143	OG0008273	n0	ApeQuad_10763.1	rna-XM_040185589.1		g21985.t1		rna-XM_037472134.2
N0.HOG0010144	OG0008274	n0	ApeQuad_10774.1, ApeQuad_10777.1			g21972.t2		rna-XM_062564407.1
N0.HOG0010145	OG0008275	n0	ApeQuad_10789.1	rna-XM_040185464.1		g21959.t1		rna-XM_037471889.2
N0.HOG0010146	OG0008276	n0	ApeQuad_10796.1	rna-XM_040187054.1		g21953.t1		rna-XM_037472149.2
N0.HOG0010147	OG0008277	n0	ApeQuad_10797.1	rna-XM_040185578.1		g21952.t1		rna-XM_037472172.2
N0.HOG0010148	OG0008278	n0	ApeQuad_10800.1	rna-XM_040185594.1		g21947.t2		rna-XM_037472196.2
N0.HOG0010149	OG0008279	n0	ApeQuad_10801.1	rna-XM_040185561.1		g21946.t2		rna-XM_037472141.2
N0.HOG0010150	OG0008280	n0	ApeQuad_10803.1	rna-XM_040185547.1		g21945.t1		rna-XM_037472120.2
N0.HOG0010151	OG0008281	n0	ApeQuad_10804.1	rna-XM_040185539.1		g21944.t1		rna-XM_062564599.1
N0.HOG0010152	OG0008282	n0	ApeQuad_10806.1					rna-XM_062564625.1, rna-XM_062564401.1, rna-XM_062564402.1
N0.HOG0010153	OG0008283	n0	ApeQuad_10810.1, ApeQuad_10825.1, ApeQuad_10872.1, ApeQuad_10826.2					
N0.HOG0010154	OG0008284	n0	ApeQuad_10821.1			g17957.t1, g21929.t1		rna-XM_037471945.2
N0.HOG0010155	OG0008285	n0	ApeQuad_10827.1	rna-XM_040185737.1		g21924.t1		rna-XM_037472139.2
N0.HOG0010156	OG0008286	n0	ApeQuad_10832.1	rna-XM_040185601.1		g21920.t1		rna-XM_037471858.2
N0.HOG0010157	OG0008287	n0	ApeQuad_10833.1	rna-XM_040185468.1		g21919.t1		rna-XM_037471897.2
N0.HOG0010158	OG0008288	n0	ApeQuad_10835.1	rna-XM_040185500.1		g21918.t1		rna-XM_037471943.2
N0.HOG0010159	OG0008289	n0	ApeQuad_10836.1	rna-XM_040185586.1		g21916.t1		rna-XM_037472179.2
N0.HOG0010160	OG0008290	n0	ApeQuad_10839.1	rna-XM_040185562.1		g21912.t1		rna-XM_037472142.2
N0.HOG0010161	OG0008291	n0	ApeQuad_10841.1	rna-XM_040185456.1		g21910.t1		rna-XM_037471851.2
N0.HOG0010162	OG0008292	n0	ApeQuad_10842.2	rna-XM_040185507.1		g21909.t1		rna-XM_037471963.2
N0.HOG0010163	OG0008293	n0	ApeQuad_10843.1	rna-XM_040185597.1		g21908.t1		rna-XM_037471904.2
N0.HOG0010164	OG0008294	n0	ApeQuad_10845.1	rna-XM_040187051.1		g21906.t3		rna-XM_037471843.2
N0.HOG0010165	OG0008295	n0	ApeQuad_10846.1	rna-XM_040185560.1		g21905.t1		rna-XM_037472138.2
N0.HOG0010166	OG0008296	n0	ApeQuad_10847.1	rna-XM_040185469.1		g21904.t1		rna-XM_037471895.2
N0.HOG0010167	OG0008297	n0	ApeQuad_10848.1	rna-XM_040185583.1		g21903.t1		rna-XM_037472174.2
N0.HOG0010168	OG0008298	n0	ApeQuad_10849.1	rna-XM_040185582.1		g21902.t1		rna-XM_037472169.2
N0.HOG0010169	OG0008299	n0	ApeQuad_10850.1	rna-XM_040185528.1		g21901.t1		rna-XM_037472063.2
N0.HOG0010170	OG0008300	n0	ApeQuad_10852.1	rna-XM_040185510.1		g21898.t1		rna-XM_037471997.2
N0.HOG0010171	OG0008301	n0	ApeQuad_10853.1	rna-XM_040185563.1		g21897.t2		rna-XM_037472143.2
N0.HOG0010172	OG0008302	n0	ApeQuad_10855.1	rna-XM_040186798.1		g21894.t1		rna-XM_062564373.1
N0.HOG0010173	OG0008303	n0	ApeQuad_10856.2	rna-XM_040186800.1		g21893.t1		rna-XM_037471972.2
N0.HOG0010174	OG0008304	n0	ApeQuad_10857.1	rna-XM_040186799.1		g21892.t1		rna-XM_037471942.2
N0.HOG0010175	OG0008305	n0	ApeQuad_10858.1	rna-XM_040187192.1		g21891.t2		rna-XM_037472059.2
N0.HOG0010176	OG0008306	n0	ApeQuad_10864.1	rna-XM_040187048.1		g21888.t1		rna-XM_062564398.1
N0.HOG0010177	OG0008307	n0	ApeQuad_10867.1	rna-XM_040187676.1		g21885.t1		rna-XM_062564623.1
N0.HOG0010178	OG0008308	n0	ApeQuad_10868.1	rna-XM_040187679.1		g21884.t1		rna-XM_037472031.2
N0.HOG0010179	OG0008309	n0	ApeQuad_10869.1	rna-XM_040187047.1		g21883.t1		rna-XM_062564551.1
N0.HOG0010180	OG0008310	n0	ApeQuad_10871.1	rna-XM_040185740.1		g21881.t2		rna-XM_062564783.1
N0.HOG0010181	OG0008311	n0	ApeQuad_10885.1	rna-XM_040187611.1		g21874.t1		rna-XM_062564271.1
N0.HOG0010182	OG0008312	n0	ApeQuad_10888.2	rna-XM_040186946.1		g21871.t1		rna-XM_037471887.2
N0.HOG0010183	OG0008313	n0	ApeQuad_10895.1	rna-XM_040186936.1		g21868.t2		rna-XM_037472152.2
N0.HOG0010184	OG0008314	n0	ApeQuad_10897.1	rna-XM_040186843.1		g21867.t1		rna-XM_037471906.2
N0.HOG0010185	OG0008315	n0	ApeQuad_10898.1			g21866.t1		rna-XM_037472099.2, rna-XM_062564268.1
N0.HOG0010186	OG0008316	n0	ApeQuad_10902.2	rna-XM_040186910.1		g21862.t1		rna-XM_037472069.2
N0.HOG0010187	OG0008317	n0	ApeQuad_10907.1	rna-XM_040186853.1		g21860.t1		rna-XM_037471950.2
N0.HOG0010188	OG0008318	n0	ApeQuad_10910.1	rna-XM_040186938.1		g21857.t1		rna-XM_037472186.2
N0.HOG0010189	OG0008319	n0	ApeQuad_10912.1	rna-XM_040187043.1		g21852.t1		rna-XM_037472061.2
N0.HOG0010190	OG0008320	n0	ApeQuad_10913.1	rna-XM_040186923.1		g21851.t1		rna-XM_062564267.1
N0.HOG0010191	OG0008321	n0	ApeQuad_10914.1	rna-XM_040186930.1		g21850.t1		rna-XM_037472164.2
N0.HOG0010192	OG0008322	n0	ApeQuad_10915.1	rna-XM_040186830.1		g21849.t1		rna-XM_062564241.1
N0.HOG0010193	OG0008323	n0	ApeQuad_10917.1	rna-XM_040167971.1		g21848.t1		rna-XM_037472066.2
N0.HOG0010194	OG0008324	n0	ApeQuad_10919.1	rna-XM_040186925.1		g21845.t1		rna-XM_037472119.2
N0.HOG0010195	OG0008325	n0	ApeQuad_10920.1	rna-XM_040186845.1		g21844.t2		rna-XM_037471922.2
N0.HOG0010196	OG0008326	n0	ApeQuad_10921.1	rna-XM_040186929.1		g21843.t1		rna-XM_037472075.2
N0.HOG0010197	OG0008327	n0	ApeQuad_10925.1	rna-XM_040186942.1		g21840.t1		rna-XM_037472173.2
N0.HOG0010198	OG0008328	n0	ApeQuad_10932.2	rna-XM_040186911.1		g21835.t2		rna-XM_037472072.2
N0.HOG0010199	OG0008329	n0	ApeQuad_10938.1	rna-XM_040186918.1		g21831.t1		rna-XM_037472085.2
N0.HOG0010200	OG0008330	n0	ApeQuad_10941.3	rna-XM_040186944.1		g21830.t1		rna-XM_037472043.2
N0.HOG0010201	OG0008331	n0	ApeQuad_10944.1	rna-XM_040186835.1		g21827.t1		rna-XM_037471871.2
N0.HOG0010202	OG0008332	n0	ApeQuad_10945.1	rna-XM_040186927.1		g21826.t1		rna-XM_037472113.2
N0.HOG0010203	OG0008333	n0	ApeQuad_10946.1	rna-XM_040186943.1		g21825.t2		rna-XM_062564451.1
N0.HOG0010204	OG0008334	n0	ApeQuad_10951.1	rna-XM_040186864.1		g21822.t1		rna-XM_037471985.2
N0.HOG0010205	OG0008335	n0	ApeQuad_10958.2	rna-XM_040186870.1		g21815.t3		rna-XM_037471983.2
N0.HOG0010206	OG0008336	n0	ApeQuad_10960.1	rna-XM_040186856.1		g21814.t1		rna-XM_037472001.2
N0.HOG0010207	OG0008337	n0	ApeQuad_10963.2	rna-XM_040186841.1		g21811.t1		rna-XM_037471882.2
N0.HOG0010208	OG0008338	n0	ApeQuad_10964.3	rna-XM_040186832.1		g21810.t1		rna-XM_062564448.1
N0.HOG0010209	OG0008339	n0	ApeQuad_10967.1	rna-XM_040186850.1		g21809.t1		rna-XM_037471928.2
N0.HOG0010210	OG0008340	n0	ApeQuad_10969.1	rna-XM_040186919.1		g21808.t1		rna-XM_037472081.2
N0.HOG0010211	OG0008341	n0	ApeQuad_10970.1	rna-XM_040186939.1		g21807.t1		rna-XM_037472190.2
N0.HOG0010212	OG0008342	n0	ApeQuad_10972.1	rna-XM_040187362.1		g21805.t1		rna-XM_037472114.2
N0.HOG0010213	OG0008343	n0	ApeQuad_10973.1	rna-XM_040187028.1		g21804.t1		rna-XM_062564456.1
N0.HOG0010214	OG0008344	n0	ApeQuad_10974.1	rna-XM_040187654.1		g21803.t1		rna-XM_037472064.2
N0.HOG0010215	OG0008345	n0	ApeQuad_10976.2	rna-XM_040187264.1		g21801.t1		rna-XM_037471926.2
N0.HOG0010216	OG0008346	n0	ApeQuad_10977.1	rna-XM_040187348.1		g21800.t1		rna-XM_037471891.2
N0.HOG0010217	OG0008347	n0	ApeQuad_10979.1	rna-XM_040187027.1		g21799.t2		rna-XM_037471422.2
N0.HOG0010218	OG0008348	n0	ApeQuad_10980.1	rna-XM_040187350.1		g21798.t1		rna-XM_037472051.2
N0.HOG0010219	OG0008349	n0	ApeQuad_10981.1	rna-XM_040187349.1		g21797.t1		rna-XM_037471914.2
N0.HOG0010220	OG0008350	n0	ApeQuad_10982.2	rna-XM_040187345.1		g21796.t1		rna-XM_062564478.1
N0.HOG0010221	OG0008351	n0	ApeQuad_10983.1	rna-XM_040187032.1		g21795.t1		rna-XM_037472036.2
N0.HOG0010222	OG0008352	n0	ApeQuad_10984.1	rna-XM_040187031.1		g21794.t1		rna-XM_037471962.2
N0.HOG0010223	OG0008353	n0	ApeQuad_10988.3	rna-XM_040185978.1		g21788.t1		rna-XM_037471841.2
N0.HOG0010224	OG0008354	n0	ApeQuad_10990.1	rna-XM_040187511.1		g21785.t1		rna-XM_037472128.2
N0.HOG0010225	OG0008355	n0	ApeQuad_10991.1	rna-XM_040187663.1		g21784.t1		rna-XM_037471941.2
N0.HOG0010226	OG0008356	n0	ApeQuad_10992.2	rna-XM_040187102.1		g21783.t2		rna-XM_037471929.2
N0.HOG0010227	OG0008357	n0	ApeQuad_10993.2	rna-XM_040187105.1		g21782.t1		rna-XM_037471944.2
N0.HOG0010228	OG0008358	n0	ApeQuad_10994.1	rna-XM_040187580.1		g21780.t2		rna-XM_062564633.1
N0.HOG0010229	OG0008359	n0	ApeQuad_10996.1	rna-XM_040187076.1		g21778.t1		rna-XM_037471935.2
N0.HOG0010230	OG0008360	n0	ApeQuad_10998.1	rna-XM_040187610.1		g21777.t1		rna-XM_037471407.2
N0.HOG0010231	OG0008361	n0	ApeQuad_11000.1	rna-XM_040187218.1		g21776.t1		rna-XM_062564731.1
N0.HOG0010232	OG0008362	n0	ApeQuad_11002.2	rna-XM_040187210.1		g21774.t1		rna-XM_037471936.2
N0.HOG0010233	OG0008363	n0	ApeQuad_11003.1	rna-XM_040187217.1		g21772.t1		rna-XM_037472057.2
N0.HOG0010234	OG0008364	n0	ApeQuad_11004.1	rna-XM_040187213.1		g21771.t1		rna-XM_037471974.2
N0.HOG0010235	OG0008365	n0	ApeQuad_11005.3	rna-XM_040187067.1		g21770.t1		rna-XM_037471866.2
N0.HOG0010236	OG0008366	n0	ApeQuad_11007.1	rna-XM_040187066.1		g21768.t1		rna-XM_062564632.1
N0.HOG0010237	OG0008367	n0	ApeQuad_11011.1	rna-XM_040185721.1		g21766.t1		rna-XM_062564379.1
N0.HOG0010238	OG0008368	n0	ApeQuad_11012.3	rna-XM_040185717.1		g21765.t2		rna-XM_062564389.1
N0.HOG0010239	OG0008369	n0	ApeQuad_11013.2	rna-XM_040185719.1		g21764.t1		rna-XM_037473215.2
N0.HOG0010240	OG0008370	n0	ApeQuad_11014.1	rna-XM_040185726.1		g21762.t1		rna-XM_037473223.2
N0.HOG0010241	OG0008371	n0	ApeQuad_11015.2	rna-XM_040186061.1		g21761.t1		rna-XM_037473209.2
N0.HOG0010242	OG0008372	n0	ApeQuad_11017.1	rna-XM_040186062.1		g21759.t1		rna-XM_037472762.2
N0.HOG0010243	OG0008373	n0	ApeQuad_11018.1	rna-XM_040187510.1		g21757.t1		rna-XM_037472763.2
N0.HOG0010244	OG0008374	n0	ApeQuad_11019.1	rna-XM_040187209.1		g21756.t1		rna-XM_062564769.1
N0.HOG0010245	OG0008375	n0	ApeQuad_11020.1	rna-XM_040187206.1		g21755.t1		rna-XM_037472639.2
N0.HOG0010246	OG0008376	n0	ApeQuad_11021.1	rna-XM_040187150.1		g21754.t1		rna-XM_037472641.2
N0.HOG0010247	OG0008377	n0	ApeQuad_11022.1	rna-XM_040187151.1		g21753.t2		rna-XM_037471174.2
N0.HOG0010248	OG0008378	n0	ApeQuad_11026.1	rna-XM_040186772.1		g21751.t1		rna-XM_062564471.1
N0.HOG0010249	OG0008379	n0	ApeQuad_11030.9	rna-XM_040186294.1		g21749.t1		rna-XM_037472711.2
N0.HOG0010250	OG0008380	n0	ApeQuad_11031.1	rna-XM_040186309.1		g21750.t1		rna-XM_037472713.2
N0.HOG0010251	OG0008381	n0	ApeQuad_11032.1	rna-XM_040187024.1		g21748.t1		rna-XM_037471405.2
N0.HOG0010252	OG0008382	n0	ApeQuad_11033.1	rna-XM_040186307.1		g21747.t1		rna-XM_037472768.2
N0.HOG0010253	OG0008383	n0	ApeQuad_11034.1	rna-XM_040186305.1		g21746.t1		rna-XM_037471203.2
N0.HOG0010254	OG0008384	n0	ApeQuad_11035.1	rna-XM_040186310.1		g21745.t1		rna-XM_037471206.2
N0.HOG0010255	OG0008385	n0	ApeQuad_11036.6	rna-XM_040186312.1		g21744.t2		rna-XM_037471189.2
N0.HOG0010256	OG0008386	n0	ApeQuad_11037.1	rna-XM_040186291.1		g21743.t1		rna-XM_037471195.2
N0.HOG0010257	OG0008387	n0	ApeQuad_11042.1	rna-XM_040186778.1		g21738.t1		rna-XM_037471205.2
N0.HOG0010258	OG0008388	n0	ApeQuad_11044.3	rna-XM_040187169.1		g21737.t1		rna-XM_062564406.1
N0.HOG0010259	OG0008389	n0	ApeQuad_11045.2	rna-XM_040186442.1		g21736.t1		rna-XM_037471129.2
N0.HOG0010260	OG0008390	n0	ApeQuad_11046.1	rna-XM_040186441.1		g21734.t1		rna-XM_037471127.2
N0.HOG0010261	OG0008391	n0	ApeQuad_11047.2	rna-XM_040187535.1		g21733.t1		rna-XM_037473094.2
N0.HOG0010262	OG0008392	n0	ApeQuad_11049.2	rna-XM_040186098.1		g21724.t2		rna-XM_037472411.2
N0.HOG0010263	OG0008393	n0	ApeQuad_11050.1	rna-XM_040186097.1		g21723.t1		rna-XM_037470894.2
N0.HOG0010264	OG0008394	n0	ApeQuad_11052.1	rna-XM_040186094.1		g21721.t1		rna-XM_037470888.2
N0.HOG0010265	OG0008395	n0	ApeQuad_11054.1	rna-XM_040185965.1		g21719.t1		rna-XM_062564789.1
N0.HOG0010266	OG0008396	n0	ApeQuad_11055.3	rna-XM_040185968.1		g21717.t1		rna-XM_037470881.2
N0.HOG0010267	OG0008397	n0	ApeQuad_11056.1	rna-XM_040187739.1		g21716.t2		rna-XM_037470895.2
N0.HOG0010268	OG0008398	n0	ApeQuad_11059.1	rna-XM_040187736.1		g21713.t1		rna-XM_037470893.2
N0.HOG0010269	OG0008399	n0	ApeQuad_11060.1	rna-XM_040187533.1		g21712.t2		rna-XM_037470878.2
N0.HOG0010270	OG0008400	n0	ApeQuad_11061.2	rna-XM_040187530.1		g21711.t2		rna-XM_037471502.2
N0.HOG0010271	OG0008401	n0	ApeQuad_11063.1	rna-XM_040186085.1		g21710.t2		rna-XM_037471504.2
N0.HOG0010272	OG0008402	n0	ApeQuad_11064.1	rna-XM_040186082.1		g21709.t1		rna-XM_037470874.2
N0.HOG0010273	OG0008403	n0	ApeQuad_11066.1	rna-XM_040186081.1		g21708.t1		rna-XM_037470815.2
N0.HOG0010274	OG0008404	n0	ApeQuad_11067.1	rna-XM_040186083.1		g21707.t1		rna-XM_037470818.2
N0.HOG0010275	OG0008405	n0	ApeQuad_11068.1	rna-XM_040186079.1		g21706.t1		rna-XM_037472376.2
N0.HOG0010276	OG0008406	n0	ApeQuad_11069.1	rna-XM_040186448.1		g21705.t1		rna-XM_037472909.2
N0.HOG0010277	OG0008407	n0	ApeQuad_11070.2	rna-XM_040186447.1		g21704.t1		rna-XM_037471343.2
N0.HOG0010278	OG0008408	n0	ApeQuad_11071.1	rna-XM_040187380.1		g21703.t1		rna-XM_062564491.1
N0.HOG0010279	OG0008409	n0	ApeQuad_11072.4	rna-XM_040185710.1		g21701.t1		rna-XM_037471014.2
N0.HOG0010280	OG0008410	n0	ApeQuad_11073.1	rna-XM_040185707.1		g21700.t1		rna-XM_037471012.2
N0.HOG0010281	OG0008411	n0	ApeQuad_11074.1	rna-XM_040187176.1		g21699.t1		rna-XM_037472994.2
N0.HOG0010282	OG0008412	n0	ApeQuad_11075.1	rna-XM_040187177.1		g21698.t1		rna-XM_037472609.2
N0.HOG0010283	OG0008413	n0	ApeQuad_11077.1	rna-XM_040186656.1		g21697.t1		rna-XM_037472586.2
N0.HOG0010284	OG0008414	n0	ApeQuad_11079.1	rna-XM_040186658.1		g21695.t1		rna-XM_037473037.2
N0.HOG0010285	OG0008415	n0	ApeQuad_11080.1	rna-XM_040186654.1		g21694.t1		rna-XM_062564367.1
N0.HOG0010286	OG0008416	n0	ApeQuad_11081.1	rna-XM_040186655.1		g21693.t1		rna-XM_037472604.2
N0.HOG0010287	OG0008417	n0	ApeQuad_11082.1	rna-XM_040185432.1		g21692.t1		rna-XM_037472703.2
N0.HOG0010288	OG0008418	n0	ApeQuad_11083.1	rna-XM_040185434.1		g21691.t1		rna-XM_037472340.2
N0.HOG0010289	OG0008419	n0	ApeQuad_11084.7	rna-XM_040185411.1		g21690.t4		rna-XM_062564365.1
N0.HOG0010290	OG0008420	n0	ApeQuad_11086.1	rna-XM_040185429.1		g21689.t2		rna-XM_037472336.2
N0.HOG0010291	OG0008421	n0	ApeQuad_11087.1	rna-XM_040185431.1		g21688.t1		rna-XM_037472338.2
N0.HOG0010292	OG0008422	n0	ApeQuad_11089.1	rna-XM_040187428.1		g21687.t1		rna-XM_062564693.1
N0.HOG0010293	OG0008423	n0	ApeQuad_11090.8	rna-XM_040185735.1		g21686.t1		rna-XM_037472303.2
